,Year,Player,Year Position,Career Position,Age,Ht(inches),Ht.(cm),Wt.(lbs),Wt.(kgs),DRB,STL,BLK,TRB,ORB,AST,PTS,FG,FGA,FG%,eFG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,TOV,Personal Fouls,Games Played,Games Started,Minutes Per Game,Team,YearBorn,DOB,Birth State,Birth City,collage,college,Player Rating
28,2014.0,Aaron Gray,C,C,29.0,7-0,213.0,270.0,122.0,64.0,10.0,8.0,103.0,39.0,19.0,60.0,25.0,58.0,0.431,0.431,0.0,1.0,0.0,25.0,57.0,0.439,10.0,18.0,0.556,27.0,57.0,33.0,6.0,335.0,SAC,1984.0,"December 7, 1984",Tarzana,California,University of Pittsburgh,University of Pittsburgh,7.9
55,1994.0,Aaron Williams,PF,F-C,22.0,6-9,206.0,220.0,99.0,2.0,0.0,0.0,3.0,1.0,1.0,4.0,2.0,8.0,0.25,0.25,0.0,0.0,,2.0,8.0,0.25,0.0,1.0,0.0,1.0,4.0,6.0,0.0,12.0,UTA,1971.0,"October 2, 1971",Evanston,Illinois,Xavier University,Xavier University,-7.0
56,1995.0,Aaron Williams,PF,F-C,23.0,6-9,206.0,220.0,99.0,14.0,2.0,6.0,19.0,5.0,0.0,24.0,8.0,24.0,0.33299999999999996,0.33299999999999996,0.0,1.0,0.0,8.0,23.0,0.348,8.0,12.0,0.667,7.0,14.0,15.0,0.0,72.0,MIL,1971.0,"October 2, 1971",Evanston,Illinois,Xavier University,Xavier University,7.0
57,1997.0,Aaron Williams,PF-C,F-C,25.0,6-9,206.0,220.0,99.0,81.0,16.0,29.0,143.0,62.0,15.0,203.0,85.0,148.0,0.574,0.574,0.0,1.0,0.0,85.0,147.0,0.578,33.0,49.0,0.6729999999999999,32.0,72.0,33.0,1.0,563.0,TOT,1971.0,"October 2, 1971",Evanston,Illinois,Xavier University,Xavier University,16.4
58,1997.0,Aaron Williams,C,F-C,25.0,6-9,206.0,220.0,99.0,3.0,0.0,3.0,5.0,2.0,0.0,6.0,3.0,5.0,0.6,0.6,0.0,0.0,,3.0,5.0,0.6,0.0,0.0,,4.0,0.0,1.0,0.0,10.0,DEN,1971.0,"October 2, 1971",Evanston,Illinois,Xavier University,Xavier University,19.1
59,1997.0,Aaron Williams,PF,F-C,25.0,6-9,206.0,220.0,99.0,78.0,16.0,26.0,138.0,60.0,15.0,197.0,82.0,143.0,0.573,0.573,0.0,1.0,0.0,82.0,142.0,0.5770000000000001,33.0,49.0,0.6729999999999999,28.0,72.0,32.0,1.0,553.0,VAN,1971.0,"October 2, 1971",Evanston,Illinois,Xavier University,Xavier University,16.4
60,1998.0,Aaron Williams,PF,F-C,26.0,6-9,206.0,220.0,99.0,99.0,19.0,38.0,147.0,48.0,14.0,296.0,115.0,220.0,0.523,0.523,0.0,1.0,0.0,115.0,219.0,0.525,66.0,85.0,0.7759999999999999,50.0,119.0,65.0,9.0,757.0,SEA,1971.0,"October 2, 1971",Evanston,Illinois,Xavier University,Xavier University,13.4
61,1999.0,Aaron Williams,PF,F-C,27.0,6-9,206.0,220.0,99.0,74.0,14.0,24.0,128.0,54.0,22.0,158.0,52.0,123.0,0.423,0.423,0.0,1.0,0.0,52.0,122.0,0.426,54.0,74.0,0.73,30.0,75.0,40.0,2.0,458.0,SEA,1971.0,"October 2, 1971",Evanston,Illinois,Xavier University,Xavier University,15.2
62,2000.0,Aaron Williams,PF,F-C,28.0,6-9,206.0,220.0,99.0,250.0,41.0,92.0,409.0,159.0,58.0,616.0,235.0,450.0,0.522,0.522,0.0,3.0,0.0,235.0,447.0,0.526,146.0,201.0,0.726,80.0,234.0,81.0,0.0,1545.0,WAS,1971.0,"October 2, 1971",Evanston,Illinois,Xavier University,Xavier University,17.7
63,2001.0,Aaron Williams,PF,F-C,29.0,6-9,206.0,220.0,99.0,379.0,59.0,113.0,590.0,211.0,88.0,838.0,297.0,650.0,0.457,0.457,0.0,2.0,0.0,297.0,648.0,0.45799999999999996,244.0,310.0,0.787,132.0,319.0,82.0,25.0,2336.0,NJN,1971.0,"October 2, 1971",Evanston,Illinois,Xavier University,Xavier University,15.1
64,2002.0,Aaron Williams,PF,F-C,30.0,6-9,206.0,220.0,99.0,224.0,29.0,76.0,339.0,115.0,77.0,592.0,231.0,439.0,0.526,0.526,0.0,2.0,0.0,231.0,437.0,0.529,130.0,186.0,0.6990000000000001,79.0,212.0,82.0,13.0,1546.0,NJN,1971.0,"October 2, 1971",Evanston,Illinois,Xavier University,Xavier University,15.2
65,2003.0,Aaron Williams,C,F-C,31.0,6-9,206.0,220.0,99.0,194.0,27.0,57.0,331.0,137.0,88.0,500.0,199.0,439.0,0.45299999999999996,0.45299999999999996,0.0,1.0,0.0,199.0,438.0,0.45399999999999996,102.0,130.0,0.785,85.0,206.0,81.0,0.0,1597.0,NJN,1971.0,"October 2, 1971",Evanston,Illinois,Xavier University,Xavier University,11.9
66,2004.0,Aaron Williams,C,F-C,32.0,6-9,206.0,220.0,99.0,193.0,34.0,46.0,294.0,101.0,81.0,450.0,172.0,342.0,0.503,0.504,1.0,3.0,0.33299999999999996,171.0,339.0,0.504,105.0,155.0,0.677,89.0,187.0,72.0,7.0,1337.0,NJN,1971.0,"October 2, 1971",Evanston,Illinois,Xavier University,Xavier University,13.2
67,2005.0,Aaron Williams,C,F-C,33.0,6-9,206.0,220.0,99.0,43.0,5.0,8.0,60.0,17.0,8.0,73.0,29.0,63.0,0.46,0.46,0.0,0.0,,29.0,63.0,0.46,15.0,17.0,0.882,17.0,70.0,42.0,4.0,315.0,TOT,1971.0,"October 2, 1971",Evanston,Illinois,Xavier University,Xavier University,5.9
68,2005.0,Aaron Williams,C,F-C,33.0,6-9,206.0,220.0,99.0,24.0,4.0,5.0,31.0,7.0,6.0,37.0,14.0,27.0,0.519,0.519,0.0,0.0,,14.0,27.0,0.519,9.0,10.0,0.9,11.0,25.0,19.0,0.0,150.0,NJN,1971.0,"October 2, 1971",Evanston,Illinois,Xavier University,Xavier University,8.9
69,2005.0,Aaron Williams,C,F-C,33.0,6-9,206.0,220.0,99.0,19.0,1.0,3.0,29.0,10.0,2.0,36.0,15.0,36.0,0.41700000000000004,0.41700000000000004,0.0,0.0,,15.0,36.0,0.41700000000000004,6.0,7.0,0.857,6.0,45.0,23.0,4.0,165.0,TOR,1971.0,"October 2, 1971",Evanston,Illinois,Xavier University,Xavier University,3.3
70,2006.0,Aaron Williams,C,F-C,34.0,6-9,206.0,220.0,99.0,117.0,17.0,21.0,181.0,64.0,17.0,222.0,91.0,176.0,0.517,0.517,0.0,0.0,,91.0,176.0,0.517,40.0,58.0,0.69,30.0,138.0,48.0,5.0,791.0,TOT,1971.0,"October 2, 1971",Evanston,Illinois,Xavier University,Xavier University,11.6
71,2006.0,Aaron Williams,C,F-C,34.0,6-9,206.0,220.0,99.0,10.0,4.0,3.0,15.0,5.0,1.0,25.0,10.0,19.0,0.526,0.526,0.0,0.0,,10.0,19.0,0.526,5.0,6.0,0.833,5.0,28.0,14.0,3.0,99.0,TOR,1971.0,"October 2, 1971",Evanston,Illinois,Xavier University,Xavier University,7.2
72,2006.0,Aaron Williams,C,F-C,34.0,6-9,206.0,220.0,99.0,107.0,13.0,18.0,166.0,59.0,16.0,197.0,81.0,157.0,0.516,0.516,0.0,0.0,,81.0,157.0,0.516,35.0,52.0,0.6729999999999999,25.0,110.0,34.0,2.0,692.0,NOK,1971.0,"October 2, 1971",Evanston,Illinois,Xavier University,Xavier University,12.2
73,2007.0,Aaron Williams,PF,F-C,35.0,6-9,206.0,220.0,99.0,58.0,7.0,14.0,85.0,27.0,7.0,76.0,29.0,53.0,0.547,0.547,0.0,1.0,0.0,29.0,52.0,0.5579999999999999,18.0,22.0,0.818,18.0,56.0,38.0,7.0,374.0,LAC,1971.0,"October 2, 1971",Evanston,Illinois,Xavier University,Xavier University,9.4
74,2008.0,Aaron Williams,C,F-C,36.0,6-9,206.0,220.0,99.0,46.0,12.0,15.0,61.0,15.0,9.0,68.0,27.0,55.0,0.491,0.491,0.0,0.0,,27.0,55.0,0.491,14.0,18.0,0.778,13.0,44.0,30.0,5.0,297.0,LAC,1971.0,"October 2, 1971",Evanston,Illinois,Xavier University,Xavier University,10.3
77,1994.0,Acie Earl,C,F-C,23.0,6-10,208.0,240.0,108.0,162.0,24.0,53.0,247.0,85.0,12.0,410.0,151.0,372.0,0.406,0.406,0.0,1.0,0.0,151.0,371.0,0.40700000000000003,108.0,160.0,0.675,72.0,178.0,74.0,8.0,1149.0,BOS,1970.0,"June 23, 1970",Peoria,Illinois,University of Iowa,University of Iowa,9.2
78,1995.0,Acie Earl,C,F-C,24.0,6-10,208.0,240.0,108.0,26.0,6.0,8.0,45.0,19.0,2.0,66.0,26.0,68.0,0.382,0.382,0.0,0.0,,26.0,68.0,0.382,14.0,29.0,0.483,14.0,39.0,30.0,3.0,208.0,BOS,1970.0,"June 23, 1970",Peoria,Illinois,University of Iowa,University of Iowa,6.6
79,1996.0,Acie Earl,C,F-C,25.0,6-10,208.0,240.0,108.0,78.0,18.0,37.0,129.0,51.0,27.0,316.0,117.0,276.0,0.424,0.424,0.0,3.0,0.0,117.0,273.0,0.429,82.0,114.0,0.7190000000000001,49.0,73.0,42.0,7.0,655.0,TOR,1970.0,"June 23, 1970",Peoria,Illinois,University of Iowa,University of Iowa,14.1
80,1997.0,Acie Earl,C,F-C,26.0,6-10,208.0,240.0,108.0,61.0,15.0,28.0,96.0,35.0,20.0,188.0,67.0,180.0,0.37200000000000005,0.37200000000000005,0.0,5.0,0.0,67.0,175.0,0.38299999999999995,54.0,84.0,0.643,35.0,61.0,47.0,0.0,500.0,TOT,1970.0,"June 23, 1970",Peoria,Illinois,University of Iowa,University of Iowa,10.7
81,1997.0,Acie Earl,C,F-C,26.0,6-10,208.0,240.0,108.0,52.0,12.0,27.0,85.0,33.0,18.0,162.0,59.0,157.0,0.376,0.376,0.0,5.0,0.0,59.0,152.0,0.38799999999999996,44.0,70.0,0.629,33.0,54.0,38.0,0.0,457.0,TOR,1970.0,"June 23, 1970",Peoria,Illinois,University of Iowa,University of Iowa,10.0
82,1997.0,Acie Earl,C,F-C,26.0,6-10,208.0,240.0,108.0,9.0,3.0,1.0,11.0,2.0,2.0,26.0,8.0,23.0,0.348,0.348,0.0,0.0,,8.0,23.0,0.348,10.0,14.0,0.7140000000000001,2.0,7.0,9.0,0.0,43.0,MIL,1970.0,"June 23, 1970",Peoria,Illinois,University of Iowa,University of Iowa,18.6
109,1998.0,Adonal Foyle,C,C,22.0,6-10,208.0,250.0,113.0,111.0,13.0,52.0,184.0,73.0,14.0,165.0,69.0,170.0,0.406,0.406,0.0,1.0,0.0,69.0,169.0,0.408,27.0,62.0,0.435,50.0,94.0,55.0,1.0,656.0,GSW,1975.0,"March 9, 1975",Canouan,Saint Vincent and the Grenadines,Colgate University,Colgate University,9.2
110,1999.0,Adonal Foyle,C,C,23.0,6-10,208.0,250.0,113.0,115.0,15.0,43.0,194.0,79.0,18.0,129.0,52.0,121.0,0.43,0.43,0.0,0.0,,52.0,121.0,0.43,25.0,51.0,0.49,31.0,90.0,44.0,0.0,614.0,GSW,1975.0,"March 9, 1975",Canouan,Saint Vincent and the Grenadines,Colgate University,Colgate University,12.3
111,2000.0,Adonal Foyle,C,C,24.0,6-10,208.0,250.0,113.0,250.0,26.0,136.0,424.0,174.0,42.0,420.0,193.0,380.0,0.508,0.508,0.0,0.0,,193.0,380.0,0.508,34.0,90.0,0.37799999999999995,71.0,218.0,76.0,59.0,1654.0,GSW,1975.0,"March 9, 1975",Canouan,Saint Vincent and the Grenadines,Colgate University,Colgate University,12.3
112,2001.0,Adonal Foyle,C,C,25.0,6-10,208.0,250.0,113.0,249.0,31.0,156.0,405.0,156.0,48.0,342.0,156.0,375.0,0.41600000000000004,0.41600000000000004,0.0,0.0,,156.0,375.0,0.41600000000000004,30.0,68.0,0.441,79.0,136.0,58.0,37.0,1457.0,GSW,1975.0,"March 9, 1975",Canouan,Saint Vincent and the Grenadines,Colgate University,Colgate University,12.4
113,2002.0,Adonal Foyle,C,C,26.0,6-10,208.0,250.0,113.0,234.0,36.0,168.0,384.0,150.0,41.0,379.0,171.0,385.0,0.444,0.444,0.0,0.0,,171.0,385.0,0.444,37.0,93.0,0.39799999999999996,76.0,179.0,79.0,36.0,1485.0,GSW,1975.0,"March 9, 1975",Canouan,Saint Vincent and the Grenadines,Colgate University,Colgate University,12.5
114,2003.0,Adonal Foyle,C,C,27.0,6-10,208.0,250.0,113.0,314.0,40.0,205.0,490.0,176.0,37.0,440.0,185.0,345.0,0.536,0.536,0.0,1.0,0.0,185.0,344.0,0.5379999999999999,70.0,104.0,0.6729999999999999,73.0,214.0,82.0,0.0,1787.0,GSW,1975.0,"March 9, 1975",Canouan,Saint Vincent and the Grenadines,Colgate University,Colgate University,15.3
115,2004.0,Adonal Foyle,C,C,28.0,6-10,208.0,250.0,113.0,113.0,6.0,46.0,167.0,54.0,17.0,137.0,59.0,130.0,0.45399999999999996,0.45399999999999996,0.0,0.0,,59.0,130.0,0.45399999999999996,19.0,35.0,0.5429999999999999,21.0,68.0,44.0,8.0,572.0,GSW,1975.0,"March 9, 1975",Canouan,Saint Vincent and the Grenadines,Colgate University,Colgate University,13.0
116,2005.0,Adonal Foyle,C,C,29.0,6-10,208.0,250.0,113.0,264.0,26.0,159.0,429.0,165.0,56.0,352.0,156.0,311.0,0.502,0.502,0.0,0.0,,156.0,311.0,0.502,40.0,72.0,0.556,58.0,201.0,78.0,50.0,1700.0,GSW,1975.0,"March 9, 1975",Canouan,Saint Vincent and the Grenadines,Colgate University,Colgate University,12.7
117,2006.0,Adonal Foyle,C,C,30.0,6-10,208.0,250.0,113.0,281.0,44.0,125.0,424.0,143.0,33.0,345.0,152.0,300.0,0.507,0.507,0.0,0.0,,152.0,300.0,0.507,41.0,67.0,0.612,80.0,215.0,77.0,72.0,1824.0,GSW,1975.0,"March 9, 1975",Canouan,Saint Vincent and the Grenadines,Colgate University,Colgate University,10.3
118,2007.0,Adonal Foyle,C,C,31.0,6-10,208.0,250.0,113.0,75.0,11.0,50.0,126.0,51.0,19.0,107.0,48.0,85.0,0.565,0.565,0.0,0.0,,48.0,85.0,0.565,11.0,25.0,0.44,23.0,61.0,48.0,6.0,475.0,GSW,1975.0,"March 9, 1975",Canouan,Saint Vincent and the Grenadines,Colgate University,Colgate University,13.7
119,2008.0,Adonal Foyle,C,C,32.0,6-10,208.0,250.0,113.0,137.0,16.0,45.0,208.0,71.0,18.0,156.0,70.0,153.0,0.45799999999999996,0.45799999999999996,0.0,0.0,,70.0,153.0,0.45799999999999996,16.0,34.0,0.47100000000000003,32.0,94.0,82.0,0.0,774.0,ORL,1975.0,"March 9, 1975",Canouan,Saint Vincent and the Grenadines,Colgate University,Colgate University,9.9
120,2009.0,Adonal Foyle,C,C,33.0,6-10,208.0,250.0,113.0,17.0,0.0,8.0,26.0,9.0,1.0,17.0,7.0,11.0,0.636,0.636,0.0,0.0,,7.0,11.0,0.636,3.0,6.0,0.5,3.0,5.0,10.0,0.0,62.0,TOT,1975.0,"March 9, 1975",Canouan,Saint Vincent and the Grenadines,Colgate University,Colgate University,19.7
121,2009.0,Adonal Foyle,C,C,33.0,6-10,208.0,250.0,113.0,17.0,0.0,8.0,26.0,9.0,1.0,17.0,7.0,11.0,0.636,0.636,0.0,0.0,,7.0,11.0,0.636,3.0,6.0,0.5,3.0,4.0,9.0,0.0,59.0,ORL,1975.0,"March 9, 1975",Canouan,Saint Vincent and the Grenadines,Colgate University,Colgate University,21.0
122,2009.0,Adonal Foyle,C,C,33.0,6-10,208.0,250.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,3.0,MEM,1975.0,"March 9, 1975",Canouan,Saint Vincent and the Grenadines,Colgate University,Colgate University,-6.3
128,2015.0,Adreian Payne,PF,F-C,23.0,6-10,208.0,237.0,107.0,114.0,19.0,9.0,162.0,48.0,30.0,213.0,91.0,220.0,0.414,0.41600000000000004,1.0,9.0,0.111,90.0,211.0,0.42700000000000005,30.0,46.0,0.652,44.0,88.0,32.0,22.0,739.0,TOT,1991.0,"February 19, 1991",Dayton,Ohio,Michigan State University,Michigan State University,7.7
129,2015.0,Adreian Payne,PF,F-C,23.0,6-10,208.0,237.0,107.0,3.0,1.0,0.0,4.0,1.0,0.0,5.0,2.0,7.0,0.28600000000000003,0.28600000000000003,0.0,1.0,0.0,2.0,6.0,0.33299999999999996,1.0,2.0,0.5,0.0,4.0,3.0,0.0,19.0,ATL,1991.0,"February 19, 1991",Dayton,Ohio,Michigan State University,Michigan State University,2.9
130,2015.0,Adreian Payne,PF,F-C,23.0,6-10,208.0,237.0,107.0,111.0,18.0,9.0,158.0,47.0,30.0,208.0,89.0,213.0,0.418,0.42,1.0,8.0,0.125,88.0,205.0,0.429,29.0,44.0,0.659,44.0,84.0,29.0,22.0,720.0,MIN,1991.0,"February 19, 1991",Dayton,Ohio,Michigan State University,Michigan State University,7.8
131,2016.0,Adreian Payne,PF,F-C,24.0,6-10,208.0,237.0,107.0,91.0,16.0,11.0,111.0,20.0,29.0,132.0,53.0,145.0,0.366,0.397,9.0,32.0,0.281,44.0,113.0,0.389,17.0,26.0,0.654,36.0,77.0,52.0,2.0,486.0,MIN,1991.0,"February 19, 1991",Dayton,Ohio,Michigan State University,Michigan State University,5.6
132,2017.0,Adreian Payne,PF,F-C,25.0,6-10,208.0,237.0,107.0,24.0,8.0,7.0,33.0,9.0,7.0,63.0,23.0,54.0,0.426,0.45399999999999996,3.0,15.0,0.2,20.0,39.0,0.513,14.0,19.0,0.737,8.0,32.0,18.0,0.0,135.0,MIN,1991.0,"February 19, 1991",Dayton,Ohio,Michigan State University,Michigan State University,14.4
137,1990.0,Adrian Caldwell,PF,F-C,23.0,6-8,203.0,265.0,120.0,73.0,11.0,18.0,109.0,36.0,7.0,97.0,42.0,76.0,0.5529999999999999,0.5529999999999999,0.0,0.0,,42.0,76.0,0.5529999999999999,13.0,28.0,0.46399999999999997,32.0,69.0,51.0,0.0,331.0,HOU,1966.0,"July 4, 1966",Falls County,Texas,Lamar University,Lamar University,9.5
138,1991.0,Adrian Caldwell,PF,F-C,24.0,6-8,203.0,265.0,120.0,57.0,19.0,10.0,100.0,43.0,8.0,77.0,35.0,83.0,0.42200000000000004,0.42200000000000004,0.0,1.0,0.0,35.0,82.0,0.42700000000000005,7.0,17.0,0.41200000000000003,30.0,35.0,42.0,0.0,343.0,HOU,1966.0,"July 4, 1966",Falls County,Texas,Lamar University,Lamar University,8.6
139,1995.0,Adrian Caldwell,PF,F-C,28.0,6-8,203.0,265.0,120.0,9.0,1.0,0.0,10.0,1.0,0.0,5.0,1.0,4.0,0.25,0.25,0.0,0.0,,1.0,4.0,0.25,3.0,6.0,0.5,1.0,6.0,7.0,0.0,30.0,HOU,1966.0,"July 4, 1966",Falls County,Texas,Lamar University,Lamar University,4.4
140,1996.0,Adrian Caldwell,PF,F-C,29.0,6-8,203.0,265.0,120.0,68.0,9.0,5.0,110.0,42.0,6.0,110.0,46.0,83.0,0.5539999999999999,0.5539999999999999,0.0,0.0,,46.0,83.0,0.5539999999999999,18.0,36.0,0.5,35.0,73.0,51.0,1.0,327.0,IND,1966.0,"July 4, 1966",Falls County,Texas,Lamar University,Lamar University,10.4
141,1997.0,Adrian Caldwell,PF,F-C,30.0,6-8,203.0,265.0,120.0,109.0,16.0,8.0,167.0,58.0,12.0,101.0,40.0,92.0,0.435,0.435,0.0,2.0,0.0,40.0,90.0,0.444,21.0,50.0,0.42,28.0,87.0,45.0,0.0,569.0,TOT,1966.0,"July 4, 1966",Falls County,Texas,Lamar University,Lamar University,7.5
142,1997.0,Adrian Caldwell,PF,F-C,30.0,6-8,203.0,265.0,120.0,36.0,8.0,1.0,56.0,20.0,5.0,29.0,10.0,35.0,0.28600000000000003,0.28600000000000003,0.0,2.0,0.0,10.0,33.0,0.303,9.0,17.0,0.529,12.0,27.0,18.0,0.0,204.0,NJN,1966.0,"July 4, 1966",Falls County,Texas,Lamar University,Lamar University,5.1
143,1997.0,Adrian Caldwell,PF,F-C,30.0,6-8,203.0,265.0,120.0,73.0,8.0,7.0,111.0,38.0,7.0,72.0,30.0,57.0,0.526,0.526,0.0,0.0,,30.0,57.0,0.526,12.0,33.0,0.364,16.0,60.0,27.0,0.0,365.0,PHI,1966.0,"July 4, 1966",Falls County,Texas,Lamar University,Lamar University,8.8
144,1998.0,Adrian Caldwell,PF,F-C,31.0,6-8,203.0,265.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,1.0,0.0,3.0,DAL,1966.0,"July 4, 1966",Falls County,Texas,Lamar University,Lamar University,0.0
207,2008.0,Al Horford,C,C-F,21.0,6-10,208.0,245.0,111.0,537.0,60.0,76.0,785.0,248.0,124.0,821.0,333.0,668.0,0.499,0.499,0.0,5.0,0.0,333.0,663.0,0.502,155.0,212.0,0.731,137.0,267.0,81.0,77.0,2540.0,ATL,1986.0,"June 3, 1986",Puerto Plata,Dominican Republic,University of Florida,University of Florida,14.7
208,2009.0,Al Horford,C,C-F,22.0,6-10,208.0,245.0,111.0,479.0,53.0,95.0,624.0,145.0,163.0,773.0,312.0,594.0,0.525,0.525,0.0,1.0,0.0,312.0,593.0,0.526,149.0,205.0,0.727,103.0,190.0,67.0,67.0,2242.0,ATL,1986.0,"June 3, 1986",Puerto Plata,Dominican Republic,University of Florida,University of Florida,17.0
209,2010.0,Al Horford,C,C-F,23.0,6-10,208.0,245.0,111.0,563.0,59.0,91.0,799.0,236.0,189.0,1148.0,467.0,847.0,0.551,0.552,1.0,1.0,1.0,466.0,846.0,0.551,213.0,270.0,0.789,122.0,225.0,81.0,81.0,2845.0,ATL,1986.0,"June 3, 1986",Puerto Plata,Dominican Republic,University of Florida,University of Florida,19.4
210,2011.0,Al Horford,C,C-F,24.0,6-10,208.0,245.0,111.0,536.0,59.0,80.0,718.0,182.0,266.0,1178.0,513.0,921.0,0.557,0.5579999999999999,2.0,4.0,0.5,511.0,917.0,0.557,150.0,188.0,0.7979999999999999,119.0,193.0,77.0,77.0,2704.0,ATL,1986.0,"June 3, 1986",Puerto Plata,Dominican Republic,University of Florida,University of Florida,20.7
211,2012.0,Al Horford,C,C-F,25.0,6-10,208.0,245.0,111.0,51.0,10.0,14.0,77.0,26.0,24.0,136.0,57.0,103.0,0.5529999999999999,0.5529999999999999,0.0,1.0,0.0,57.0,102.0,0.5589999999999999,22.0,30.0,0.733,16.0,21.0,11.0,11.0,348.0,ATL,1986.0,"June 3, 1986",Puerto Plata,Dominican Republic,University of Florida,University of Florida,19.0
212,2013.0,Al Horford,C,C-F,26.0,6-10,208.0,245.0,111.0,562.0,78.0,78.0,757.0,195.0,240.0,1289.0,576.0,1060.0,0.5429999999999999,0.545,3.0,6.0,0.5,573.0,1054.0,0.544,134.0,208.0,0.644,147.0,163.0,74.0,74.0,2756.0,ATL,1986.0,"June 3, 1986",Puerto Plata,Dominican Republic,University of Florida,University of Florida,19.8
