,Year,Player,Year Position,Career Position,Age,Ht(inches),Ht.(cm),Wt.(lbs),Wt.(kgs),DRB,STL,BLK,TRB,ORB,AST,PTS,FG,FGA,FG%,eFG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,TOV,Personal Fouls,Games Played,Games Started,Minutes Per Game,Team,YearBorn,DOB,Birth State,Birth City,collage,college,Player Rating
66,2004.0,Aaron Williams,C,F-C,32.0,6-9,206.0,220.0,99.0,193.0,34.0,46.0,294.0,101.0,81.0,450.0,172.0,342.0,0.503,0.504,1.0,3.0,0.33299999999999996,171.0,339.0,0.504,105.0,155.0,0.677,89.0,187.0,72.0,7.0,1337.0,NJN,1971.0,"October 2, 1971",Evanston,Illinois,Xavier University,Xavier University,13.2
67,2005.0,Aaron Williams,C,F-C,33.0,6-9,206.0,220.0,99.0,43.0,5.0,8.0,60.0,17.0,8.0,73.0,29.0,63.0,0.46,0.46,0.0,0.0,,29.0,63.0,0.46,15.0,17.0,0.882,17.0,70.0,42.0,4.0,315.0,TOT,1971.0,"October 2, 1971",Evanston,Illinois,Xavier University,Xavier University,5.9
68,2005.0,Aaron Williams,C,F-C,33.0,6-9,206.0,220.0,99.0,24.0,4.0,5.0,31.0,7.0,6.0,37.0,14.0,27.0,0.519,0.519,0.0,0.0,,14.0,27.0,0.519,9.0,10.0,0.9,11.0,25.0,19.0,0.0,150.0,NJN,1971.0,"October 2, 1971",Evanston,Illinois,Xavier University,Xavier University,8.9
69,2005.0,Aaron Williams,C,F-C,33.0,6-9,206.0,220.0,99.0,19.0,1.0,3.0,29.0,10.0,2.0,36.0,15.0,36.0,0.41700000000000004,0.41700000000000004,0.0,0.0,,15.0,36.0,0.41700000000000004,6.0,7.0,0.857,6.0,45.0,23.0,4.0,165.0,TOR,1971.0,"October 2, 1971",Evanston,Illinois,Xavier University,Xavier University,3.3
70,2006.0,Aaron Williams,C,F-C,34.0,6-9,206.0,220.0,99.0,117.0,17.0,21.0,181.0,64.0,17.0,222.0,91.0,176.0,0.517,0.517,0.0,0.0,,91.0,176.0,0.517,40.0,58.0,0.69,30.0,138.0,48.0,5.0,791.0,TOT,1971.0,"October 2, 1971",Evanston,Illinois,Xavier University,Xavier University,11.6
71,2006.0,Aaron Williams,C,F-C,34.0,6-9,206.0,220.0,99.0,10.0,4.0,3.0,15.0,5.0,1.0,25.0,10.0,19.0,0.526,0.526,0.0,0.0,,10.0,19.0,0.526,5.0,6.0,0.833,5.0,28.0,14.0,3.0,99.0,TOR,1971.0,"October 2, 1971",Evanston,Illinois,Xavier University,Xavier University,7.2
72,2006.0,Aaron Williams,C,F-C,34.0,6-9,206.0,220.0,99.0,107.0,13.0,18.0,166.0,59.0,16.0,197.0,81.0,157.0,0.516,0.516,0.0,0.0,,81.0,157.0,0.516,35.0,52.0,0.6729999999999999,25.0,110.0,34.0,2.0,692.0,NOK,1971.0,"October 2, 1971",Evanston,Illinois,Xavier University,Xavier University,12.2
73,2007.0,Aaron Williams,PF,F-C,35.0,6-9,206.0,220.0,99.0,58.0,7.0,14.0,85.0,27.0,7.0,76.0,29.0,53.0,0.547,0.547,0.0,1.0,0.0,29.0,52.0,0.5579999999999999,18.0,22.0,0.818,18.0,56.0,38.0,7.0,374.0,LAC,1971.0,"October 2, 1971",Evanston,Illinois,Xavier University,Xavier University,9.4
74,2008.0,Aaron Williams,C,F-C,36.0,6-9,206.0,220.0,99.0,46.0,12.0,15.0,61.0,15.0,9.0,68.0,27.0,55.0,0.491,0.491,0.0,0.0,,27.0,55.0,0.491,14.0,18.0,0.778,13.0,44.0,30.0,5.0,297.0,LAC,1971.0,"October 2, 1971",Evanston,Illinois,Xavier University,Xavier University,10.3
77,1994.0,Acie Earl,C,F-C,23.0,6-10,208.0,240.0,108.0,162.0,24.0,53.0,247.0,85.0,12.0,410.0,151.0,372.0,0.406,0.406,0.0,1.0,0.0,151.0,371.0,0.40700000000000003,108.0,160.0,0.675,72.0,178.0,74.0,8.0,1149.0,BOS,1970.0,"June 23, 1970",Peoria,Illinois,University of Iowa,University of Iowa,9.2
78,1995.0,Acie Earl,C,F-C,24.0,6-10,208.0,240.0,108.0,26.0,6.0,8.0,45.0,19.0,2.0,66.0,26.0,68.0,0.382,0.382,0.0,0.0,,26.0,68.0,0.382,14.0,29.0,0.483,14.0,39.0,30.0,3.0,208.0,BOS,1970.0,"June 23, 1970",Peoria,Illinois,University of Iowa,University of Iowa,6.6
79,1996.0,Acie Earl,C,F-C,25.0,6-10,208.0,240.0,108.0,78.0,18.0,37.0,129.0,51.0,27.0,316.0,117.0,276.0,0.424,0.424,0.0,3.0,0.0,117.0,273.0,0.429,82.0,114.0,0.7190000000000001,49.0,73.0,42.0,7.0,655.0,TOR,1970.0,"June 23, 1970",Peoria,Illinois,University of Iowa,University of Iowa,14.1
80,1997.0,Acie Earl,C,F-C,26.0,6-10,208.0,240.0,108.0,61.0,15.0,28.0,96.0,35.0,20.0,188.0,67.0,180.0,0.37200000000000005,0.37200000000000005,0.0,5.0,0.0,67.0,175.0,0.38299999999999995,54.0,84.0,0.643,35.0,61.0,47.0,0.0,500.0,TOT,1970.0,"June 23, 1970",Peoria,Illinois,University of Iowa,University of Iowa,10.7
81,1997.0,Acie Earl,C,F-C,26.0,6-10,208.0,240.0,108.0,52.0,12.0,27.0,85.0,33.0,18.0,162.0,59.0,157.0,0.376,0.376,0.0,5.0,0.0,59.0,152.0,0.38799999999999996,44.0,70.0,0.629,33.0,54.0,38.0,0.0,457.0,TOR,1970.0,"June 23, 1970",Peoria,Illinois,University of Iowa,University of Iowa,10.0
82,1997.0,Acie Earl,C,F-C,26.0,6-10,208.0,240.0,108.0,9.0,3.0,1.0,11.0,2.0,2.0,26.0,8.0,23.0,0.348,0.348,0.0,0.0,,8.0,23.0,0.348,10.0,14.0,0.7140000000000001,2.0,7.0,9.0,0.0,43.0,MIL,1970.0,"June 23, 1970",Peoria,Illinois,University of Iowa,University of Iowa,18.6
95,1993.0,Adam Keefe,PF,F,22.0,6-9,206.0,230.0,104.0,261.0,57.0,16.0,432.0,171.0,80.0,542.0,188.0,376.0,0.5,0.5,0.0,1.0,0.0,188.0,375.0,0.501,166.0,237.0,0.7,100.0,195.0,82.0,6.0,1549.0,ATL,1970.0,"February 22, 1970",Irvine,California,Stanford University,Stanford University,13.6
96,1994.0,Adam Keefe,PF,F,23.0,6-9,206.0,230.0,104.0,124.0,20.0,9.0,201.0,77.0,34.0,273.0,96.0,213.0,0.451,0.451,0.0,0.0,,96.0,213.0,0.451,81.0,111.0,0.73,60.0,80.0,63.0,1.0,763.0,ATL,1970.0,"February 22, 1970",Irvine,California,Stanford University,Stanford University,12.0
97,1995.0,Adam Keefe,SF,F,24.0,6-9,206.0,230.0,104.0,192.0,36.0,25.0,327.0,135.0,30.0,461.0,172.0,298.0,0.5770000000000001,0.5770000000000001,0.0,0.0,,172.0,298.0,0.5770000000000001,117.0,173.0,0.6759999999999999,62.0,141.0,75.0,0.0,1270.0,UTA,1970.0,"February 22, 1970",Irvine,California,Stanford University,Stanford University,15.1
98,1996.0,Adam Keefe,PF,F,25.0,6-9,206.0,230.0,104.0,279.0,51.0,41.0,455.0,176.0,64.0,499.0,180.0,346.0,0.52,0.52,0.0,4.0,0.0,180.0,342.0,0.526,139.0,201.0,0.6920000000000001,88.0,174.0,82.0,0.0,1708.0,UTA,1970.0,"February 22, 1970",Irvine,California,Stanford University,Stanford University,13.8
99,1997.0,Adam Keefe,C,F,26.0,6-9,206.0,230.0,104.0,141.0,30.0,13.0,216.0,75.0,32.0,235.0,82.0,160.0,0.513,0.513,0.0,1.0,0.0,82.0,159.0,0.516,71.0,103.0,0.6890000000000001,45.0,97.0,62.0,0.0,915.0,UTA,1970.0,"February 22, 1970",Irvine,California,Stanford University,Stanford University,11.7
100,1998.0,Adam Keefe,C,F,27.0,6-9,206.0,230.0,104.0,259.0,52.0,24.0,438.0,179.0,89.0,620.0,229.0,424.0,0.54,0.54,0.0,0.0,,229.0,424.0,0.54,162.0,200.0,0.81,71.0,172.0,80.0,75.0,2047.0,UTA,1970.0,"February 22, 1970",Irvine,California,Stanford University,Stanford University,14.5
101,1999.0,Adam Keefe,PF,F,28.0,6-9,206.0,230.0,104.0,91.0,16.0,12.0,142.0,51.0,28.0,174.0,56.0,124.0,0.452,0.452,0.0,4.0,0.0,56.0,120.0,0.467,62.0,89.0,0.6970000000000001,33.0,63.0,44.0,0.0,642.0,UTA,1970.0,"February 22, 1970",Irvine,California,Stanford University,Stanford University,12.2
102,2000.0,Adam Keefe,C,F,29.0,6-9,206.0,230.0,104.0,91.0,17.0,13.0,136.0,45.0,34.0,135.0,53.0,130.0,0.408,0.408,0.0,1.0,0.0,53.0,129.0,0.41100000000000003,29.0,36.0,0.8059999999999999,46.0,90.0,62.0,3.0,604.0,UTA,1970.0,"February 22, 1970",Irvine,California,Stanford University,Stanford University,7.6
103,2001.0,Adam Keefe,PF,F,30.0,6-9,206.0,230.0,104.0,119.0,28.0,20.0,209.0,90.0,36.0,168.0,64.0,159.0,0.40299999999999997,0.406,1.0,3.0,0.33299999999999996,63.0,156.0,0.40399999999999997,39.0,63.0,0.619,40.0,102.0,67.0,13.0,836.0,GSW,1970.0,"February 22, 1970",Irvine,California,Stanford University,Stanford University,9.7
104,2007.0,Adam Morrison,PF,F,22.0,6-8,203.0,205.0,92.0,176.0,28.0,6.0,230.0,54.0,163.0,917.0,355.0,944.0,0.376,0.42200000000000004,87.0,258.0,0.337,268.0,686.0,0.391,120.0,169.0,0.71,130.0,179.0,78.0,23.0,2326.0,CHA,1984.0,"July 19, 1984",Glendive,Montana,Gonzaga University,Gonzaga University,7.9
105,2009.0,Adam Morrison,SF,F,24.0,6-8,203.0,205.0,92.0,62.0,9.0,4.0,80.0,18.0,41.0,209.0,80.0,223.0,0.359,0.43,32.0,96.0,0.33299999999999996,48.0,127.0,0.37799999999999995,17.0,23.0,0.7390000000000001,32.0,77.0,52.0,5.0,711.0,TOT,1984.0,"July 19, 1984",Glendive,Montana,Gonzaga University,Gonzaga University,5.7
106,2009.0,Adam Morrison,SF,F,24.0,6-8,203.0,205.0,92.0,56.0,9.0,4.0,72.0,16.0,38.0,199.0,76.0,211.0,0.36,0.434,31.0,92.0,0.337,45.0,119.0,0.37799999999999995,16.0,21.0,0.762,29.0,73.0,44.0,5.0,667.0,CHA,1984.0,"July 19, 1984",Glendive,Montana,Gonzaga University,Gonzaga University,5.8
107,2009.0,Adam Morrison,SF,F,24.0,6-8,203.0,205.0,92.0,6.0,0.0,0.0,8.0,2.0,3.0,10.0,4.0,12.0,0.33299999999999996,0.375,1.0,4.0,0.25,3.0,8.0,0.375,1.0,2.0,0.5,3.0,4.0,8.0,0.0,44.0,LAL,1984.0,"July 19, 1984",Glendive,Montana,Gonzaga University,Gonzaga University,2.9
108,2010.0,Adam Morrison,SF,F,25.0,6-8,203.0,205.0,92.0,22.0,3.0,2.0,32.0,10.0,18.0,74.0,32.0,85.0,0.376,0.406,5.0,21.0,0.23800000000000002,27.0,64.0,0.42200000000000004,5.0,8.0,0.625,10.0,17.0,31.0,0.0,241.0,LAL,1984.0,"July 19, 1984",Glendive,Montana,Gonzaga University,Gonzaga University,7.4
125,2014.0,Adonis Thomas,SF,F,20.0,6-7,201.0,200.0,90.0,3.0,0.0,0.0,3.0,0.0,3.0,14.0,6.0,14.0,0.429,0.46399999999999997,1.0,5.0,0.2,5.0,9.0,0.556,1.0,1.0,1.0,1.0,6.0,6.0,1.0,37.0,TOT,1993.0,"March 25, 1993",Memphis,Tennessee,University of Memphis,University of Memphis,7.3
126,2014.0,Adonis Thomas,SF,F,20.0,6-7,201.0,200.0,90.0,3.0,0.0,0.0,3.0,0.0,2.0,7.0,3.0,9.0,0.33299999999999996,0.33299999999999996,0.0,3.0,0.0,3.0,6.0,0.5,1.0,1.0,1.0,0.0,2.0,4.0,0.0,24.0,ORL,1993.0,"March 25, 1993",Memphis,Tennessee,University of Memphis,University of Memphis,5.8
127,2014.0,Adonis Thomas,SF,F,20.0,6-7,201.0,200.0,90.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,3.0,5.0,0.6,0.7,1.0,2.0,0.5,2.0,3.0,0.667,0.0,0.0,,1.0,4.0,2.0,1.0,13.0,PHI,1993.0,"March 25, 1993",Memphis,Tennessee,University of Memphis,University of Memphis,10.1
128,2015.0,Adreian Payne,PF,F-C,23.0,6-10,208.0,237.0,107.0,114.0,19.0,9.0,162.0,48.0,30.0,213.0,91.0,220.0,0.414,0.41600000000000004,1.0,9.0,0.111,90.0,211.0,0.42700000000000005,30.0,46.0,0.652,44.0,88.0,32.0,22.0,739.0,TOT,1991.0,"February 19, 1991",Dayton,Ohio,Michigan State University,Michigan State University,7.7
129,2015.0,Adreian Payne,PF,F-C,23.0,6-10,208.0,237.0,107.0,3.0,1.0,0.0,4.0,1.0,0.0,5.0,2.0,7.0,0.28600000000000003,0.28600000000000003,0.0,1.0,0.0,2.0,6.0,0.33299999999999996,1.0,2.0,0.5,0.0,4.0,3.0,0.0,19.0,ATL,1991.0,"February 19, 1991",Dayton,Ohio,Michigan State University,Michigan State University,2.9
130,2015.0,Adreian Payne,PF,F-C,23.0,6-10,208.0,237.0,107.0,111.0,18.0,9.0,158.0,47.0,30.0,208.0,89.0,213.0,0.418,0.42,1.0,8.0,0.125,88.0,205.0,0.429,29.0,44.0,0.659,44.0,84.0,29.0,22.0,720.0,MIN,1991.0,"February 19, 1991",Dayton,Ohio,Michigan State University,Michigan State University,7.8
131,2016.0,Adreian Payne,PF,F-C,24.0,6-10,208.0,237.0,107.0,91.0,16.0,11.0,111.0,20.0,29.0,132.0,53.0,145.0,0.366,0.397,9.0,32.0,0.281,44.0,113.0,0.389,17.0,26.0,0.654,36.0,77.0,52.0,2.0,486.0,MIN,1991.0,"February 19, 1991",Dayton,Ohio,Michigan State University,Michigan State University,5.6
132,2017.0,Adreian Payne,PF,F-C,25.0,6-10,208.0,237.0,107.0,24.0,8.0,7.0,33.0,9.0,7.0,63.0,23.0,54.0,0.426,0.45399999999999996,3.0,15.0,0.2,20.0,39.0,0.513,14.0,19.0,0.737,8.0,32.0,18.0,0.0,135.0,MIN,1991.0,"February 19, 1991",Dayton,Ohio,Michigan State University,Michigan State University,14.4
133,1987.0,Adrian Branch,SF,F-G,23.0,6-7,201.0,185.0,83.0,30.0,16.0,3.0,53.0,23.0,16.0,138.0,48.0,96.0,0.5,0.5,0.0,2.0,0.0,48.0,94.0,0.511,42.0,54.0,0.778,24.0,39.0,32.0,0.0,219.0,LAL,1963.0,"November 17, 1963",Washington,District of Columbia,University of Maryland,University of Maryland,18.8
134,1988.0,Adrian Branch,SF,F-G,24.0,6-7,201.0,185.0,83.0,28.0,16.0,11.0,48.0,20.0,16.0,133.0,56.0,134.0,0.418,0.42200000000000004,1.0,5.0,0.2,55.0,129.0,0.426,20.0,23.0,0.87,29.0,41.0,20.0,3.0,308.0,NJN,1963.0,"November 17, 1963",Washington,District of Columbia,University of Maryland,University of Maryland,10.4
135,1989.0,Adrian Branch,SF,F-G,25.0,6-7,201.0,185.0,83.0,69.0,45.0,3.0,132.0,63.0,60.0,498.0,202.0,436.0,0.46299999999999997,0.47100000000000003,7.0,31.0,0.226,195.0,405.0,0.48100000000000004,87.0,120.0,0.725,64.0,99.0,67.0,4.0,811.0,POR,1963.0,"November 17, 1963",Washington,District of Columbia,University of Maryland,University of Maryland,15.7
136,1990.0,Adrian Branch,SF,F-G,26.0,6-7,201.0,185.0,83.0,12.0,6.0,0.0,20.0,8.0,4.0,65.0,25.0,61.0,0.41,0.418,1.0,1.0,1.0,24.0,60.0,0.4,14.0,22.0,0.636,8.0,14.0,11.0,0.0,91.0,MIN,1963.0,"November 17, 1963",Washington,District of Columbia,University of Maryland,University of Maryland,16.9
137,1990.0,Adrian Caldwell,PF,F-C,23.0,6-8,203.0,265.0,120.0,73.0,11.0,18.0,109.0,36.0,7.0,97.0,42.0,76.0,0.5529999999999999,0.5529999999999999,0.0,0.0,,42.0,76.0,0.5529999999999999,13.0,28.0,0.46399999999999997,32.0,69.0,51.0,0.0,331.0,HOU,1966.0,"July 4, 1966",Falls County,Texas,Lamar University,Lamar University,9.5
138,1991.0,Adrian Caldwell,PF,F-C,24.0,6-8,203.0,265.0,120.0,57.0,19.0,10.0,100.0,43.0,8.0,77.0,35.0,83.0,0.42200000000000004,0.42200000000000004,0.0,1.0,0.0,35.0,82.0,0.42700000000000005,7.0,17.0,0.41200000000000003,30.0,35.0,42.0,0.0,343.0,HOU,1966.0,"July 4, 1966",Falls County,Texas,Lamar University,Lamar University,8.6
139,1995.0,Adrian Caldwell,PF,F-C,28.0,6-8,203.0,265.0,120.0,9.0,1.0,0.0,10.0,1.0,0.0,5.0,1.0,4.0,0.25,0.25,0.0,0.0,,1.0,4.0,0.25,3.0,6.0,0.5,1.0,6.0,7.0,0.0,30.0,HOU,1966.0,"July 4, 1966",Falls County,Texas,Lamar University,Lamar University,4.4
140,1996.0,Adrian Caldwell,PF,F-C,29.0,6-8,203.0,265.0,120.0,68.0,9.0,5.0,110.0,42.0,6.0,110.0,46.0,83.0,0.5539999999999999,0.5539999999999999,0.0,0.0,,46.0,83.0,0.5539999999999999,18.0,36.0,0.5,35.0,73.0,51.0,1.0,327.0,IND,1966.0,"July 4, 1966",Falls County,Texas,Lamar University,Lamar University,10.4
141,1997.0,Adrian Caldwell,PF,F-C,30.0,6-8,203.0,265.0,120.0,109.0,16.0,8.0,167.0,58.0,12.0,101.0,40.0,92.0,0.435,0.435,0.0,2.0,0.0,40.0,90.0,0.444,21.0,50.0,0.42,28.0,87.0,45.0,0.0,569.0,TOT,1966.0,"July 4, 1966",Falls County,Texas,Lamar University,Lamar University,7.5
142,1997.0,Adrian Caldwell,PF,F-C,30.0,6-8,203.0,265.0,120.0,36.0,8.0,1.0,56.0,20.0,5.0,29.0,10.0,35.0,0.28600000000000003,0.28600000000000003,0.0,2.0,0.0,10.0,33.0,0.303,9.0,17.0,0.529,12.0,27.0,18.0,0.0,204.0,NJN,1966.0,"July 4, 1966",Falls County,Texas,Lamar University,Lamar University,5.1
143,1997.0,Adrian Caldwell,PF,F-C,30.0,6-8,203.0,265.0,120.0,73.0,8.0,7.0,111.0,38.0,7.0,72.0,30.0,57.0,0.526,0.526,0.0,0.0,,30.0,57.0,0.526,12.0,33.0,0.364,16.0,60.0,27.0,0.0,365.0,PHI,1966.0,"July 4, 1966",Falls County,Texas,Lamar University,Lamar University,8.8
144,1998.0,Adrian Caldwell,PF,F-C,31.0,6-8,203.0,265.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,1.0,0.0,3.0,DAL,1966.0,"July 4, 1966",Falls County,Texas,Lamar University,Lamar University,0.0
145,2000.0,Adrian Griffin,SG,G-F,25.0,6-5,196.0,217.0,98.0,244.0,116.0,15.0,372.0,128.0,177.0,485.0,175.0,413.0,0.424,0.44299999999999995,16.0,57.0,0.281,159.0,356.0,0.447,119.0,158.0,0.753,93.0,222.0,72.0,47.0,1927.0,BOS,1974.0,"July 4, 1974",Wichita,Kansas,Seton Hall University,Seton Hall University,12.6
146,2001.0,Adrian Griffin,SF,G-F,26.0,6-5,196.0,217.0,98.0,60.0,18.0,5.0,87.0,27.0,27.0,93.0,33.0,97.0,0.34,0.387,9.0,26.0,0.34600000000000003,24.0,71.0,0.33799999999999997,18.0,24.0,0.75,18.0,45.0,44.0,0.0,377.0,BOS,1974.0,"July 4, 1974",Wichita,Kansas,Seton Hall University,Seton Hall University,10.5
147,2002.0,Adrian Griffin,SG,G-F,27.0,6-5,196.0,217.0,98.0,161.0,75.0,12.0,229.0,68.0,106.0,415.0,179.0,359.0,0.499,0.521,16.0,54.0,0.29600000000000004,163.0,305.0,0.534,41.0,49.0,0.8370000000000001,42.0,142.0,58.0,34.0,1383.0,DAL,1974.0,"July 4, 1974",Wichita,Kansas,Seton Hall University,Seton Hall University,14.2
148,2003.0,Adrian Griffin,SG,G-F,28.0,6-5,196.0,217.0,98.0,176.0,77.0,6.0,264.0,88.0,105.0,325.0,146.0,337.0,0.433,0.442,6.0,24.0,0.25,140.0,313.0,0.447,27.0,32.0,0.8440000000000001,47.0,157.0,74.0,48.0,1373.0,DAL,1974.0,"July 4, 1974",Wichita,Kansas,Seton Hall University,Seton Hall University,11.5
149,2004.0,Adrian Griffin,SG,G-F,29.0,6-5,196.0,217.0,98.0,18.0,7.0,2.0,19.0,1.0,10.0,11.0,5.0,18.0,0.278,0.306,1.0,2.0,0.5,4.0,16.0,0.25,0.0,4.0,0.0,3.0,17.0,19.0,1.0,133.0,HOU,1974.0,"July 4, 1974",Wichita,Kansas,Seton Hall University,Seton Hall University,4.5
150,2005.0,Adrian Griffin,SF,G-F,30.0,6-5,196.0,217.0,98.0,94.0,43.0,4.0,146.0,52.0,53.0,151.0,58.0,161.0,0.36,0.366,2.0,9.0,0.222,56.0,152.0,0.368,33.0,44.0,0.75,30.0,78.0,69.0,1.0,667.0,CHI,1974.0,"July 4, 1974",Wichita,Kansas,Seton Hall University,Seton Hall University,10.7
151,2006.0,Adrian Griffin,SG,G-F,31.0,6-5,196.0,217.0,98.0,152.0,51.0,9.0,227.0,75.0,89.0,237.0,98.0,204.0,0.48,0.48,0.0,2.0,0.0,98.0,202.0,0.485,41.0,53.0,0.774,39.0,113.0,52.0,45.0,1245.0,DAL,1974.0,"July 4, 1974",Wichita,Kansas,Seton Hall University,Seton Hall University,11.6
